7zip 26.02-1
a52dec 0.8.0-3
abseil-cpp 20260817.0-1
acl 2.4.0-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-plugins 1:1.2.12-6
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
alsa-utils 1.2.16-1
aml 1.0.0-1
aom 3.14.1-1
appstream 1.1.6-1
aquamarine 0.14.0-2
archlinux-keyring 20260727-1
asdcontrol 1:0.6.0-2
at-spi2-core 2.60.6-1
attr 2.6.0-1
audit 4.2.1-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
ayatana-ido 0.10.4-1
base 3-3
base-devel 1-2
bash 5.3.15-1
bash-completion 2.18.0-1
bat 0.26.1-2
binutils 2.47-4
bison 3.8.2-8
bluez 5.87-2
bluez-libs 5.87-2
bluez-tools 0.2.0-6
bluez-utils 5.87-2
bolt 0.9.11-3
boost-libs 1.92.0-1
brave-origin-bin 1:1.94.117-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
btop 1.4.7-1
btrfs-progs 7.1-1
bubblewrap 0.11.2-1
bzip2 1.0.8-6
c-ares 1.34.8-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.127-1
ca-certificates-utils 20240618-1
cabextract 1.11-3
cairo 1.18.4-1
cdparanoia 10.2-10
cfitsio 1:4.7.0-1
chromium 151.0.7922.173-1
cifs-utils 7.5-1
clang 22.1.8-1
cmake 4.4.2-1
compiler-rt 22.1.8-1
containerd 2.3.4-1
coreutils 9.11-2
cpio 2.15-3
cppdap 1.58.0-3
cpptrace 1.0.4-2
cracklib 2.10.3-1
cryptsetup 2.8.7-1
cups 2:2.4.19-1
cups-filters 2.0.1-2
cups-pk-helper 0.2.7-2
curl 8.21.0-1
curl-impersonate 2.1.0-1
dav1d 1.5.4-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-glib 0.114-1
dbus-units 37-3
dconf 0.49.0-1
ddcutil 2.2.7-1
debugedit 5.3-2
default-cursors 3-1
deno 2.9.5-1
desktop-file-utils 0.28-1
device-mapper 2.03.42-1
diffutils 3.12-2
djvulibre 3.5.30.1-1
dkms 3.4.3-2
docker 1:29.7.2-1
docker-buildx 0.36.1-1
docker-compose 5.5.0-1
dos2unix 7.5.6-1
dosfstools 4.2-5
dotnet-host 10.0.11.sdk111-1
dotnet-runtime 10.0.11.sdk111-1
double-conversion 3.4.0-1
dua-cli 2.42.1-1
duktape 2.7.0-7
e2fsprogs 1.47.4-1
efibootmgr 18-4
efivar 39-2
egl-gbm 1.1.3-1
egl-wayland 4:1.1.21-1
egl-x11 1.0.5-1
eglexternalplatform 1.2.1-1
elfutils 0.196-1
enchant 2.8.15-2
evince 1:48.4-1
exempi 2.6.6-3
exfatprogs 1.4.3-1
exiv2 0.28.8-2
expac 10-13
expat 2.8.3-1
eza 0.23.5-2
fakeroot 1:1.37.2-3
fastfetch 2.67.1-1
fcft 3.3.3-1
fcitx5 5.1.21-1
fcitx5-gtk 5.1.7-1
fcitx5-qt 5.1.14-2
fd 10.4.2-2
ffmpeg 2:9.0.1-1
ffmpegthumbnailer 2.3.0-2
fftw 3.3.11-1
file 5.48-1
filesystem 2025.10.12-1
findutils 4.11.0-1
fish 4.8.1-1
flac 1.5.0-1
flameshot 14.0.0-1
flex 2.6.4-6
fontconfig 2:2.18.3-2
foot 1.27.0-2
freeglut 3.8.0-1
freerdp 2:3.30.0-2
freetype2 2.14.3-1
fribidi 1.0.16-2
fuse-common 3.18.2-1
fuse2 2.9.9-6
fuse3 3.18.2-1
fzf 0.74.3-1
gawk 5.4.1-1
gc 8.2.12-1
gcc 16.2.1+r23+gd564253eb6c8-1
gcc-libs 16.2.1+r23+gd564253eb6c8-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gdb 17.2-1
gdb-common 17.2-1
gdbm 1.26-2
gdk-pixbuf2 2.44.7-1
gettext 1.0-2
gexiv2 0.16.2-2
gexiv2-common 0.16.2-2
ghostscript 10.07.1-1
giflib 6.1.3-2
git 2.55.0-1
gjs 2:1.88.1-1
glib-networking 1:2.80.1-1
glib2 2.88.3-1
glibc 2.44+r24+g16be1518495f-1
glslang 1:1.4.357.0-1
glu 9.0.3-3
glycin 2.1.5-2
glycin-gtk4 2.1.5-2
gmp 6.3.0-3
gnome-autoar 0.4.5-1
gnome-desktop 1:44.5-1
gnome-desktop-4 1:44.5-1
gnome-desktop-common 1:44.5-1
gnome-disk-utility 46.1-3
gnome-keyring 1:50.0-1
gnome-themes-extra 1:3.28-1
gnulib-l10n 20241231-1
gnupg 2.4.9-3
gnutls 3.8.13-2
go 2:1.27.0-1
gobject-introspection-runtime 1.86.0-2
gperftools 2.18.1-1
gpgme 2.1.2-1
gpgmepp 2.1.0-1
gpm 1.20.7.r38.ge82d1a6-6
gpu-screen-recorder 6.0.1-1
graphene 1.10.8-2
graphite 1:1.3.15-1
grep 3.12-2
grim 1.5.0-2
groff 1.24.1-1
grunt-cli 1.5.0-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsfonts 20200910-6
gsm 1.0.24-1
gspell 1.14.4-1
gssdp 1.6.6-1
gst-plugin-gtk 1.28.6-2
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-bad-libs 1.28.6-2
gst-plugins-base 1.28.6-2
gst-plugins-base-libs 1.28.6-2
gst-plugins-ugly 1.28.6-2
gstreamer 1.28.6-2
gtest 1.17.0-2
gtk-update-icon-cache 1:4.22.4-1
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtk4-layer-shell 1.3.0-1
gtksourceview4 4.8.4-2
guile 3.0.11-1
gum 2.0.0-1
gupnp 1:1.6.10-1
gupnp-dlna 0.12.0-5
gupnp-igd 1.6.0-2
gvfs 1.60.2-1
gvfs-mtp 1.60.2-1
gvfs-nfs 1.60.2-1
gvfs-smb 1.60.2-1
gzip 1.14-2
harfbuzz 14.3.1-1
harfbuzz-icu 14.3.1-1
herdr 0.8.2-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hwdata 0.410-1
hwloc 2.14.0-1
hyphen 2.8.9-1
hyprcursor 0.1.13-7
hyprgraphics 0.5.1-4
hyprland 0.56.2-1
hyprland-guiutils 0.2.2-2
hyprland-preview-share-picker 0.2.1-1
hyprlang 0.6.8-5
hyprpicker 0.4.7-3
hyprsunset 0.4.0-3
hyprtoolkit 0.5.4-4
hyprutils 0.14.1-1
hyprwayland-scanner 0.4.6-1
hyprwire 0.3.1-3
i2c-tools 4.4-4
iana-etc 20260617-1
icu 78.3-1
ijs 0.35-7
imagemagick 7.1.2.30-1
imath 3.2.3-1
imv 5.0.1-2
inetutils 2.8-1
iniparser 4.2.6-2
inotify-tools 4.25.9.0-1
intel-gmmlib 22.10.0-1
intel-media-driver 26.2.4-1
intel-ucode 20260812-1
inxi 3.3.41.1-1
iproute2 7.2.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
jansson 2.15.1-1
jasper 4.2.9-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-2
jbigkit 2.1-8
jdk11-openjdk 11.0.32.1.u1-1
jemalloc 1:5.3.1-3
jq 1.8.2-1
js140 140.14.0-1
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kbd 2.10.0-1
kernel-modules-hook 0.1.7-3
keyutils 1.6.3-4
kguiaddons 6.29.0-1
kmod 34.2-1
krb5 1.22.2-1
l-smash 2.14.5-4
lame 4.0-1
lazygit 0.64.1-1
lcms2 2.19.1-1
ldb 2:4.24.6-1
leancrypto 1.8.0-1
leptonica 1.87.0-1
less 1:704-1
lib32-alsa-lib 1.2.16.1-1
lib32-alsa-plugins 1.2.12-1
lib32-brotli 1.2.0-2
lib32-bzip2 1.0.8-4
lib32-curl 8.21.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.3-1
lib32-fontconfig 2:2.18.3-1
lib32-freetype2 2.14.3-1
lib32-gcc-libs 16.2.1+r23+gd564253eb6c8-1
lib32-glib2 2.88.3-1
lib32-glibc 2.44+r24+g16be1518495f-1
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.13-3
lib32-icu 78.3-1
lib32-json-c 0.19-1
